"","X","V1","s","a","b","z","o","w","p","m","n","DenExp","DenExp2","DenExp3","DenExp4","logLik","AIC"
"17",17,1,1012,0.9,1.2,0.7,1.1,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14983.9078338726,30011.8156677452
"18",18,1,1013,0.8,1.1,0.7,1.1,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14981.5793762845,30007.1587525689
"19",19,1,1014,0.9,1.1,0.7,1.1,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14980.4632091999,30004.9264183999
"20",20,1,1015,0.8,1.2,0.7,1.1,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14982.9880668316,30009.9761336631
"21",21,1,1016,0.9,1.2,0.7,1.1,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14980.7997093345,30005.5994186691
"22",22,1,1017,0.8,1.1,0.7,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14985.1365129607,30014.2730259214
"23",23,1,1018,0.9,1.1,0.7,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14984.5056668966,30013.0113337933
"24",24,1,1019,0.8,1.2,0.7,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14984.5123859955,30013.0247719911
"25",25,1,102,0.9,1.1,0.5,1.1,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14988.8549128388,30021.7098256776
"26",26,1,1020,0.9,1.2,0.7,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14982.7798033393,30009.5596066785
"27",27,1,1021,0.8,1.1,0.7,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14980.6171916119,30005.2343832239
"28",28,1,1022,0.9,1.1,0.7,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14979.6109864666,30003.2219729332
"29",29,1,1023,0.8,1.2,0.7,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14981.8696708543,30007.7393417086
"30",30,1,1024,0.9,1.2,0.7,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14979.7964292163,30003.5928584325
"31",31,1,1025,0.8,1.1,0.5,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.2883116574,30036.5766233148
"32",32,1,1026,0.9,1.1,0.5,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.5300062538,30037.0600125076
"33",33,1,1027,0.8,1.2,0.5,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.0009173332,30036.0018346665
"34",34,1,1028,0.9,1.2,0.5,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14995.0006816509,30034.0013633018
"35",35,1,1029,0.8,1.1,0.5,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14991.6587363255,30027.317472651
"36",36,1,103,0.8,1.2,0.5,1.1,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14991.5145198565,30027.0290397129
"37",37,1,1030,0.9,1.1,0.5,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14990.8757603109,30025.7515206218
"38",38,1,1031,0.8,1.2,0.5,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14993.348095436,30030.6961908719
"39",39,1,1032,0.9,1.2,0.5,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14991.4599570682,30026.9199141364
"40",40,1,1033,0.8,1.1,0.5,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14995.25742809,30034.51485618
"41",41,1,1034,0.9,1.1,0.5,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14995.3891140521,30034.7782281042
"42",42,1,1035,0.8,1.2,0.5,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14994.8074379354,30033.6148758708
"43",43,1,1036,0.9,1.2,0.5,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14993.6777099998,30031.3554199996
"44",44,1,1037,0.8,1.1,0.5,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14990.4570550947,30024.9141101894
"45",45,1,1038,0.9,1.1,0.5,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14989.9217829469,30023.8435658938
"46",46,1,1039,0.8,1.2,0.5,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14992.0665480901,30028.1330961803
"47",47,1,104,0.9,1.2,0.5,1.1,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14989.2502526462,30022.5005052924
"48",48,1,1040,0.9,1.2,0.5,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14990.2908397426,30024.5816794853
"49",49,1,1041,0.8,1.1,0.7,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-15001.1051774833,30046.2103549666
"50",50,1,1042,0.9,1.1,0.7,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-15001.9576110847,30047.9152221695
"51",51,1,1043,0.8,1.2,0.7,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-15000.5197184497,30045.0394368994
"52",52,1,1044,0.9,1.2,0.7,1.1,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-15000.0888009594,30044.1776019189
"53",53,1,1045,0.8,1.1,0.7,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14996.4054336725,30036.810867345
"54",54,1,1046,0.9,1.1,0.7,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14996.743380042,30037.486760084
"55",55,1,1047,0.8,1.2,0.7,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14997.6642374351,30039.3284748702
"56",56,1,1048,0.9,1.2,0.7,1.1,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14996.8183986965,30037.6367973929
"57",57,1,1049,0.8,1.1,0.7,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14999.7811063306,30043.5622126611
"58",58,1,105,0.8,1.1,0.5,1.2,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14994.2982658904,30032.5965317809
"59",59,1,1050,0.9,1.1,0.7,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-15000.7048859519,30045.4097719037
"60",60,1,1051,0.8,1.2,0.7,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14999.0886981021,30042.1773962041
"61",61,1,1052,0.9,1.2,0.7,1.2,0.1,0.8,0,0.6,0.2,0.1,0.2,0.2,-14998.7279996819,30041.4559993639
"62",62,1,1053,0.8,1.1,0.7,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14995.1639026622,30034.3278053243
"63",63,1,1054,0.9,1.1,0.7,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14995.5949548409,30035.1899096818
"64",64,1,1055,0.8,1.2,0.7,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14996.3179258598,30036.6358517196
"65",65,1,1056,0.9,1.2,0.7,1.2,0.1,0.8,0,0.6,0.3,0.1,0.2,0.2,-14995.5476308712,30035.0952617425
"66",66,1,1057,0.8,1.1,0.5,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.8231964266,30037.6463928533
"67",67,1,1058,0.9,1.1,0.5,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.9544741399,30037.9089482799
"68",68,1,1059,0.8,1.2,0.5,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.6082844137,30037.2165688273
"69",69,1,106,0.9,1.1,0.5,1.2,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14993.8533887501,30031.7067775003
"70",70,1,1060,0.9,1.2,0.5,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14995.509666882,30035.019333764
"71",71,1,1061,0.8,1.1,0.5,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.2526514113,30028.5053028226
"72",72,1,1062,0.9,1.1,0.5,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14991.3844425496,30026.7688850993
"73",73,1,1063,0.8,1.2,0.5,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14993.9852117134,30031.9704234268
"74",74,1,1064,0.9,1.2,0.5,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.0408986805,30028.081797361
"75",75,1,1065,0.8,1.1,0.5,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.2107627069,30036.4215254138
"76",76,1,1066,0.9,1.1,0.5,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.2463034539,30036.4926069077
"77",77,1,1067,0.8,1.2,0.5,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14995.7736813968,30035.5473627936
"78",78,1,1068,0.9,1.2,0.5,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14994.5634571352,30033.1269142704
"79",79,1,1069,0.8,1.1,0.5,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14991.4342354175,30026.8684708351
"80",80,1,107,0.8,1.2,0.5,1.2,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14993.6088010563,30031.2176021126
"81",81,1,1070,0.9,1.1,0.5,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14990.8502946258,30025.7005892516
"82",82,1,1071,0.8,1.2,0.5,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14993.0105728866,30030.0211457732
"83",83,1,1072,0.9,1.2,0.5,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14991.2237450056,30026.4474900111
"84",84,1,1073,0.8,1.1,0.7,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15001.0984211895,30046.1968423789
"85",85,1,1074,0.9,1.1,0.7,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15001.920587694,30047.8411753881
"86",86,1,1075,0.8,1.2,0.7,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15000.4975654517,30044.9951309033
"87",87,1,1076,0.9,1.2,0.7,1.1,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15000.0494640085,30044.098928017
"88",88,1,1077,0.8,1.1,0.7,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14996.417172925,30036.83434585
"89",89,1,1078,0.9,1.1,0.7,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14996.7415378827,30037.4830757654
"90",90,1,1079,0.8,1.2,0.7,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14997.6441851356,30039.2883702711
"91",91,1,108,0.9,1.2,0.5,1.2,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14992.0036330427,30028.0072660854
"92",92,1,1080,0.9,1.2,0.7,1.1,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14996.7969262744,30037.5938525489
"93",93,1,1081,0.8,1.1,0.7,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15000.1104449118,30044.2208898236
"94",94,1,1082,0.9,1.1,0.7,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-15001.0154057385,30046.0308114771
"95",95,1,1083,0.8,1.2,0.7,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14999.3622205064,30042.7244410127
"96",96,1,1084,0.9,1.2,0.7,1.2,0.1,0.8,0,0.6,0.2,0.3,0.2,0.2,-14999.0024557465,30042.0049114931
"97",97,1,1085,0.8,1.1,0.7,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14995.4946554427,30034.9893108854
"98",98,1,1086,0.9,1.1,0.7,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14995.9255226323,30035.8510452646
"99",99,1,1087,0.8,1.2,0.7,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14996.5706593024,30037.1413186047
"100",100,1,1088,0.9,1.2,0.7,1.2,0.1,0.8,0,0.6,0.3,0.3,0.2,0.2,-14995.8157684,30035.6315368001
"101",101,1,1089,0.8,1.1,0.5,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14992.8220676572,30029.6441353143
"102",102,1,109,0.8,1.1,0.5,1.2,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14989.3488545782,30022.6977091565
"103",103,1,1090,0.9,1.1,0.5,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14992.5486512429,30029.0973024857
"104",104,1,1091,0.8,1.2,0.5,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14992.320647774,30028.6412955479
"105",105,1,1092,0.9,1.2,0.5,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14990.8854844906,30025.7709689812
"106",106,1,1093,0.8,1.1,0.5,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14987.9891856382,30019.9783712765
"107",107,1,1094,0.9,1.1,0.5,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14987.0796350654,30018.1592701307
"108",108,1,1095,0.8,1.2,0.5,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14989.511171677,30023.0223433539
"109",109,1,1096,0.9,1.2,0.5,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14987.4756403985,30018.9512807969
"110",110,1,1097,0.8,1.1,0.5,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14991.7587536995,30027.5175073989
"111",111,1,1098,0.9,1.1,0.5,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14991.4443535892,30026.8887071784
"112",112,1,1099,0.8,1.2,0.5,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14991.1058818896,30026.2117637792
"113",113,1,11,0.8,1.2,0.5,1.2,0.1,0.8,0,1,0.2,0.1,0.2,0.2,-14996.5631283299,30037.1262566598
"114",114,1,110,0.9,1.1,0.5,1.2,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14988.3862098349,30020.7724196699
"115",115,1,1100,0.9,1.2,0.5,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14989.6186041339,30023.2372082678
"116",116,1,1101,0.8,1.1,0.5,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14986.8466821013,30017.6933642026
"117",117,1,1102,0.9,1.1,0.5,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14986.1371261985,30016.274252397
"118",118,1,1103,0.8,1.2,0.5,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14988.1650068414,30020.3300136827
"119",119,1,1104,0.9,1.2,0.5,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14986.3394972249,30016.6789944498
"120",120,1,1105,0.8,1.1,0.7,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14997.5991167687,30039.1982335375
"121",121,1,1106,0.9,1.1,0.7,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14998.1018946505,30040.2037893009
"122",122,1,1107,0.8,1.2,0.7,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.8181338613,30037.6362677227
"123",123,1,1108,0.9,1.2,0.7,1.1,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.1499690611,30036.2999381223
"124",124,1,1109,0.8,1.1,0.7,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14992.8819865542,30029.7639731085
"125",125,1,111,0.8,1.2,0.5,1.2,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14990.5572948438,30025.1145896877
"126",126,1,1110,0.9,1.1,0.7,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14993.0054503339,30030.0109006679
"127",127,1,1111,0.8,1.2,0.7,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14993.9028994705,30031.8057989409
"128",128,1,1112,0.9,1.2,0.7,1.1,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14992.9523125725,30029.9046251449
"129",129,1,1113,0.8,1.1,0.7,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.2339452066,30036.4678904133
"130",130,1,1114,0.9,1.1,0.7,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14996.8216254937,30037.6432509874
"131",131,1,1115,0.8,1.2,0.7,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14995.3607003814,30034.7214007628
"132",132,1,1116,0.9,1.2,0.7,1.2,0.3,0.8,0,0.6,0.2,0.1,0.2,0.2,-14994.7714236914,30033.5428473827
"133",133,1,1117,0.8,1.1,0.7,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14991.6253384957,30027.2506769914
"134",134,1,1118,0.9,1.1,0.7,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14991.8391574742,30027.6783149483
"135",135,1,1119,0.8,1.2,0.7,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14992.5573910431,30029.1147820861
"136",136,1,112,0.9,1.2,0.5,1.2,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14988.5306049046,30021.0612098093
"137",137,1,1120,0.9,1.2,0.7,1.2,0.3,0.8,0,0.6,0.3,0.1,0.2,0.2,-14991.6778380268,30027.3556760536
"138",138,1,1121,0.8,1.1,0.5,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14993.36317132,30030.7263426401
"139",139,1,1122,0.9,1.1,0.5,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14992.9808364782,30029.9616729563
"140",140,1,1123,0.8,1.2,0.5,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14992.9281365361,30029.8562730722
"141",141,1,1124,0.9,1.2,0.5,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14991.3949369805,30026.7898739609
"142",142,1,1125,0.8,1.1,0.5,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14988.5957755355,30021.191551071
"143",143,1,1126,0.9,1.1,0.5,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14987.5813503059,30019.1627006118
"144",144,1,1127,0.8,1.2,0.5,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14990.1513495914,30024.3026991829
"145",145,1,1128,0.9,1.2,0.5,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14988.0443439165,30020.0886878331
"146",146,1,1129,0.8,1.1,0.5,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14992.6846459846,30029.3692919693
"147",147,1,113,0.8,1.1,0.7,1.1,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14998.9866757964,30041.9733515928
"148",148,1,1130,0.9,1.1,0.5,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14992.2909790948,30028.5819581896
"149",149,1,1131,0.8,1.2,0.5,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14992.0396872891,30028.0793745782
"150",150,1,1132,0.9,1.2,0.5,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14990.4904140781,30024.9808281562
"151",151,1,1133,0.8,1.1,0.5,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14987.7958909511,30019.5917819021
"152",152,1,1134,0.9,1.1,0.5,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14987.0417763542,30018.0835527085
"153",153,1,1135,0.8,1.2,0.5,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14989.0846731489,30022.1693462977
"154",154,1,1136,0.9,1.2,0.5,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14987.246683107,30018.4933662141
"155",155,1,1137,0.8,1.1,0.7,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14997.5557432636,30039.1114865271
"156",156,1,1138,0.9,1.1,0.7,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14998.0415716454,30040.0831432908
"157",157,1,1139,0.8,1.2,0.7,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.7609296808,30037.5218593615
"158",158,1,114,0.9,1.1,0.7,1.1,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14999.4077670013,30042.8155340026
"159",159,1,1140,0.9,1.2,0.7,1.1,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.0854992593,30036.1709985187
"160",160,1,1141,0.8,1.1,0.7,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.8606893142,30029.7213786284
"161",161,1,1142,0.9,1.1,0.7,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.9753571944,30029.9507143889
"162",162,1,1143,0.8,1.2,0.7,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14993.8517783557,30031.7035567113
"163",163,1,1144,0.9,1.2,0.7,1.1,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.9030236927,30029.8060473854
"164",164,1,1145,0.8,1.1,0.7,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14996.5037407967,30037.0074815935
"165",165,1,1146,0.9,1.1,0.7,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14997.0901892657,30038.1803785313
"166",166,1,1147,0.8,1.2,0.7,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14995.5777105649,30035.1554211298
"167",167,1,1148,0.9,1.2,0.7,1.2,0.3,0.8,0,0.6,0.2,0.3,0.2,0.2,-14995.0032959155,30034.006591831
"168",168,1,1149,0.8,1.1,0.7,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14991.9035231093,30027.8070462185
"169",169,1,115,0.8,1.2,0.7,1.1,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14998.1301083449,30040.2602166899
"170",170,1,1150,0.9,1.1,0.7,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.1267064672,30028.2534129344
"171",171,1,1151,0.8,1.2,0.7,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14992.7607385206,30029.5214770411
"172",172,1,1152,0.9,1.2,0.7,1.2,0.3,0.8,0,0.6,0.3,0.3,0.2,0.2,-14991.9037399698,30027.8074799396
"173",173,1,1153,0.8,1.1,0.5,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14990.0630927452,30024.1261854904
"174",174,1,1154,0.9,1.1,0.5,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14989.800016331,30023.600032662
"175",175,1,1155,0.8,1.2,0.5,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14989.966854221,30023.933708442
"176",176,1,1156,0.9,1.2,0.5,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14988.4309027577,30020.8618055154
"177",177,1,1157,0.8,1.1,0.5,1.1,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14984.9382985262,30013.8765970524
"178",178,1,1158,0.9,1.1,0.5,1.1,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14983.9536737304,30011.9073474607
"179",179,1,1159,0.8,1.2,0.5,1.1,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14987.0000689264,30018.0001378529
"180",180,1,116,0.9,1.2,0.7,1.1,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14997.3912183885,30038.7824367771
"181",181,1,1160,0.9,1.2,0.5,1.1,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14984.7033344205,30013.4066688411
"182",182,1,1161,0.8,1.1,0.5,1.2,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14988.9852026293,30021.9704052586
"183",183,1,1162,0.9,1.1,0.5,1.2,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14988.6883391902,30021.3766783804
"184",184,1,1163,0.8,1.2,0.5,1.2,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14988.7279388075,30021.4558776151
"185",185,1,1164,0.9,1.2,0.5,1.2,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14987.1423424895,30018.284684979
"186",186,1,1165,0.8,1.1,0.5,1.2,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14983.8220254845,30011.644050969
"187",187,1,1166,0.9,1.1,0.5,1.2,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14983.0171639345,30010.034327869
"188",188,1,1167,0.8,1.2,0.5,1.2,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14985.6613765794,30015.3227531588
"189",189,1,1168,0.9,1.2,0.5,1.2,0.1,1,0,0.6,0.3,0.1,0.2,0.2,-14983.5601571112,30011.1203142224
"190",190,1,1169,0.8,1.1,0.7,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14994.9968221877,30033.9936443753
"191",191,1,117,0.8,1.1,0.7,1.1,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14994.2059161624,30032.4118323249
"192",192,1,1170,0.9,1.1,0.7,1.1,0.1,1,0,0.6,0.2,0.1,0.2,0.2,-14995.4953690402,30034.9907380803
